Town,State/Province,Number,Latitude,Longitude,Date
Gulf Shores,AL,100,30.2,-88,10/19/2019
Bay Saint Louis,MS,12,30.3,-89.3,10/19/2019
San Pedro Garza García,NLE,30,25.6,-100.4,10/19/2019
Amherstburg,ON,20,42,-83,10/19/2019
Mcveytown,PA,18,40.5,-77.8,10/19/2019
New Ringgold,PA,14,40.6,-76,10/19/2019
Austin,TX,200,30.2,-97.8,10/18/2019
Boerne,TX,26,29.7,-98.7,10/18/2019
Mansfield,TX,75,32.6,-97.1,10/18/2019
Boerne,TX,100,29.8,-98.8,10/18/2019
Austin,TX,30,30.4,-97.7,10/18/2019
San Antonio,TX,15,29.6,-98.5,10/18/2019
Babylon,NY,94,40.6,-73.2,10/18/2019
Tapias,NLE,300,24.8,-100,10/18/2019
Aramberri,NLE,1500,24.1,-99.8,10/18/2019
Las Marías,COA,40,27.3,-102,10/18/2019
Amherstburg,ON,5,42,-83,10/18/2019
Mcveytown,PA,3,40.5,-77.8,10/18/2019
Fayetteville,AR,40,36.1,-94.2,10/17/2019
Gregorio González,COA,50,28.6,-100.5,10/17/2019
Tolar,TX,160,32.4,-97.9,10/17/2019
Tucson,AZ,4,32.2,-111,10/17/2019
Amherstburg,ON,4,42,-83,10/17/2019
Atlanta,GA,28,33.7,-84.4,10/16/2019
Alice,TX,50,27.9,-98.1,10/16/2019
Glen Rose,TX,50,32.2,-97.8,10/16/2019
West Columbia,SC,16,34,-81.1,10/16/2019
Glen Rose,TX,50,32.2,-97.8,10/16/2019
Madison,GA,13,33.6,-83.5,10/16/2019
Covington,GA,22,33.6,-83.9,10/16/2019
La Salle,IL,12,41.4,-89,10/15/2019
Dripping Springs,TX,20,30.3,-98.1,10/15/2019
Atlanta,GA,100,33.7,-84.4,10/15/2019
Austin,TX,30,30.3,-97.7,10/15/2019
San Marcos,TX,1000,29.8,-97.9,10/15/2019
Mason,TX,65,30.7,-99.1,10/15/2019
Spicewood,TX,1000,30.3,-98.1,10/15/2019
Vanderpool,TX,15,29.8,-99.6,10/15/2019
Covington,GA,50,33.6,-83.9,10/15/2019
Madison,GA,30,33.6,-83.5,10/15/2019
Amherstburg,ON,10,42,-83,10/15/2019
Mcveytown,PA,36,40.5,-77.8,10/15/2019
New Ringgold,PA,27,40.6,-76,10/15/2019
Rockwall,TX,224,32.9,-96.5,10/14/2019
Austin,TX,35,30.3,-97.7,10/14/2019
Ender's Island,CT,36,41.3,-72,10/14/2019
Dripping Springs,TX,10,30.2,-98.2,10/14/2019
San Antonio,TX,100,29.4,-98.5,10/14/2019
Athens,GA,20,34,-83.4,10/14/2019
Plano,TX,100,33.1,-96.8,10/14/2019
Randolph Center,VT,10,43.9,-72.5,10/14/2019
Fort Hood,TX,3000,31.2,-97.6,10/14/2019
Austin,TX,20,30.3,-97.7,10/14/2019
Westerly,RI,50,41.3,-71.8,10/14/2019
San Antonio,TX,85,29.6,-98.5,10/14/2019
Spring Lake,NJ,60,40.2,-74,10/14/2019
El Mirador,COA,600,29.4,-101.1,10/14/2019
Santa Catarina,NLE,70,25.7,-100.5,10/14/2019
Hot Springs Village,AR,16,34.7,-93,10/14/2019
Marble Falls,TX,10,30.6,-98.3,10/14/2019
Amherstburg,ON,12,42,-83,10/14/2019
Mcveytown,PA,35,40.5,-77.8,10/14/2019
New Ringgold,PA,11,40.6,-76,10/14/2019
Elgin,TX,30,30.3,-97.4,10/13/2019
Wimberley,TX,36,30,-98.1,10/13/2019
Elgin,TX,300,30.4,-97.4,10/13/2019
Jarrell,TX,60,30.8,-97.6,10/13/2019
Georgetown,TX,54,30.6,-97.6,10/13/2019
Leander,TX,11,30.4,-98,10/13/2019
Marble Falls,TX,25,30.6,-98.3,10/13/2019
Comfort,TX,60,30,-98.9,10/13/2019
Austin,TX,200,30.3,-97.8,10/13/2019
Austin,TX,42,30.3,-97.7,10/13/2019
Hunt,TX,15,29.9,-99.7,10/13/2019
New Braunfels,TX,10,29.7,-98.1,10/13/2019
Garden City,MO,34,38.5,-94.2,10/13/2019
Austin,TX,18,30.2,-97.9,10/13/2019
Springfield,MO,30,37.2,-93.3,10/13/2019
Walnut Springs,TX,50,32.1,-97.9,10/13/2019
Austin,TX,41,30.3,-97.7,10/13/2019
Rochester,PA,25,40.7,-80.2,10/13/2019
Cherokee,TX,10,31,-98.7,10/13/2019
Fire Island,NY,311,40.6,-73.2,10/13/2019
Townsend,TN,100,35.6,-83.8,10/13/2019
Carthage,MO,100,37.2,-94.3,10/13/2019
Prattville,AL,38,32.6,-86.6,10/13/2019
Billingsley,AL,68,32.7,-86.7,10/13/2019
Cibolo,TX,200,29.6,-98.2,10/13/2019
Quapaw,OK,15,37,-94.7,10/13/2019
Ozark,MO,11,37.1,-93.2,10/13/2019
Mcveytown,PA,10,40.5,-77.8,10/13/2019
New Ringgold,PA,8,40.6,-76,10/13/2019
Arden,NC,27,35.5,-82.5,10/12/2019
Marion,NC,100,35.8,-82,10/12/2019
Salado,TX,90,30.9,-97.5,10/12/2019
Siloam Springs,AR,25,36.2,-94.6,10/12/2019
Holland,TX,67,30.9,-97.5,10/12/2019
Mount Pleasant,SC,30,32.8,-79.9,10/12/2019
Fire Island,NY,585,40.6,-73.2,10/12/2019
Pflugerville,TX,300,30.5,-97.6,10/12/2019
Fredericksburg,TX,1000,30.2,-98.8,10/12/2019
Springfield,MO,10,37.2,-93.3,10/12/2019
Amherstburg,ON,18,42,-83,10/12/2019
Mcveytown,PA,28,40.5,-77.8,10/12/2019
Media,PA,8,39.9,-75.4,10/12/2019
New Ringgold,PA,20,40.6,-76,10/12/2019
Folly Beach,SC,300,32.7,-79.9,10/11/2019
Coppell,TX,50,32.9,-97,10/11/2019
Canton,NC,50,35.3,-82.8,10/11/2019
Atlantic Beach,NC,100,34.7,-76.8,10/11/2019
Asheville,NC,25,35.6,-82.6,10/11/2019
Bessemer,AL,20,33.2,-87,10/11/2019
Canton,NC,139,35.3,-82.9,10/11/2019
Atlanta,GA,50,33.8,-84.4,10/11/2019
Mcveytown,PA,37,40.5,-77.8,10/11/2019
Media,PA,4,39.9,-75.4,10/11/2019
New Ringgold,PA,38,40.6,-76,10/11/2019
Pawleys Island,SC,100,33.4,-79.1,10/10/2019
Washington,AR,118,33.8,-93.8,10/10/2019
Mannford,OK,30,36.1,-96.4,10/10/2019
Saint Louis,MO,40,38.6,-90.4,10/10/2019
Bixby,OK,24,35.9,-95.7,10/10/2019
Arlington,TX,1000,32.7,-97.2,10/10/2019
Columbia,TN,12,35.7,-87,10/10/2019
Haskell,OK,30,35.8,-95.7,10/10/2019
Dalton,GA,10,34.8,-85,10/10/2019
Edmond,OK,20,35.7,-97.5,10/10/2019
Broken Arrow,OK,37,36,-95.8,10/10/2019
Monterrey,NLE,500,25.7,-100.3,10/10/2019
El Mirador,COA,200,29.4,-101.1,10/10/2019
Amherstburg,ON,5,42,-83,10/10/2019
Mcveytown,PA,8,40.5,-77.8,10/10/2019
New Ringgold,PA,54,40.6,-76,10/10/2019
Atlanta,GA,15,33.8,-84.3,10/9/2019
Black Mountain,NC,868,35.5,-82.2,10/9/2019
Morganton,GA,32,34.9,-84.1,10/9/2019
Copperhill,TN,12,35,-84.4,10/9/2019
Big Lake,TX,50,31.6,-101.4,10/9/2019
Black Mountain,NC,36,35.5,-82.2,10/9/2019
Chatham-Kent,ON,14,42.4,-82.2,10/9/2019
Plano,TX,40,33.1,-96.8,10/9/2019
Tatum,NM,100,33.2,-103.3,10/9/2019
Camdenton,MO,11,38,-92.8,10/9/2019
Princeton,WV,20,37.3,-81.1,10/9/2019
Junction,TX,100,30.5,-99.8,10/9/2019
Big Spring,TX,20,32.3,-101.5,10/9/2019
Atlanta,GA,20,33.8,-84.4,10/9/2019
Edmond,OK,20,35.7,-97.5,10/9/2019
Springfield,VA,12,38.8,-77.2,10/9/2019
Atlanta,GA,20,33.8,-84.4,10/9/2019
Amherstburg,ON,26,42,-83,10/9/2019
Mcveytown,PA,4,40.5,-77.8,10/9/2019
Media,PA,11,39.9,-75.4,10/9/2019
Junction,TX,100,30.4,-99.8,10/8/2019
Del Rio,TX,10,29.5,-100.9,10/8/2019
Peculiar,MO,200,38.7,-94.5,10/8/2019
Chatham-Kent,ON,40,42.4,-82.2,10/8/2019
Madison,WI,15,43.1,-89.4,10/8/2019
Plano,TX,30,33,-96.7,10/8/2019
Black Mountain,NC,104,35.5,-82.2,10/8/2019
Locust Grove,OK,1000,36.2,-95.2,10/8/2019
Broken Arrow,OK,36,36,-95.8,10/8/2019
Overland Park,KS,20,38.8,-94.7,10/8/2019
Denison,TX,16,33.8,-96.5,10/8/2019
Springfield,MO,28,37.1,-93.3,10/8/2019
Brookston,TX,50,33.6,-95.7,10/8/2019
Wichita Falls,TX,156,33.9,-98.5,10/8/2019
Atlanta,GA,30,33.8,-84.4,10/8/2019
Del Rio,TX,465,29.5,-101.2,10/8/2019
Mounds,OK,72,35.9,-96,10/8/2019
Amherstburg,ON,26,42,-83,10/8/2019
Media,PA,3,39.9,-75.4,10/8/2019
Lenoir,NC,67,35.9,-81.5,10/7/2019
Steeles Tavern,VA,60,38,-79.3,10/7/2019
Liberty,MO,25,39.2,-94.4,10/7/2019
Lenexa,KS,5,39,-94.7,10/7/2019
Kansas City,KS,100,39.1,-94.6,10/7/2019
Wall,TX,50,31.4,-100.3,10/7/2019
Zirconia,NC,337,35.2,-82.5,10/7/2019
Hendersonville,NC,205,35.3,-82.5,10/7/2019
Kansas City,MO,200,39.1,-94.6,10/7/2019
Waynesville,NC,276,35.4,-83,10/7/2019
Lenexa,KS,5,39,-94.7,10/7/2019
Bucyrus,KS,100,38.8,-94.7,10/7/2019
Harrisville,MI,263,44.6,-83.3,10/7/2019
Black Mountain,NC,209,35.5,-82.2,10/7/2019
Kansas City,MO,223,39.2,-94.6,10/7/2019
Aspermont,TX,200,33.1,-100.2,10/7/2019
Balsam Grove,NC,279,35.3,-82.8,10/7/2019
Wichita Falls,TX,75,33.8,-98.6,10/7/2019
Standish,MI,14,43.9,-83.9,10/7/2019
Asheville,NC,12,35.6,-82.6,10/7/2019
Kansas City,MO,50,39,-94.6,10/7/2019
Overland Park,KS,20,38.8,-94.7,10/7/2019
Chatham-Kent,ON,600,42.5,-81.7,10/7/2019
Garden City,MO,25,38.5,-94.2,10/7/2019
Rock Island,IL,50,41.5,-90.6,10/7/2019
Amherstburg,ON,32,42,-83,10/7/2019
Media,PA,5,39.9,-75.4,10/7/2019
Norman,OK,200,35.2,-97.5,10/6/2019
Oklahoma City,OK,300,35.5,-97.6,10/6/2019
Paola,KS,60,38.5,-94.8,10/6/2019
Edmond,OK,173,35.6,-97.5,10/6/2019
Overland Park,KS,82,39,-94.7,10/6/2019
Kansas City,MO,360,39.2,-94.7,10/6/2019
Edmond,OK,50,35.7,-97.5,10/6/2019
Townsend,GA,9,31.6,-81.3,10/6/2019
Athens,GA,20,34,-83.4,10/6/2019
Harrisville,MI,214,44.6,-83.3,10/6/2019
Savannah,MO,200,40,-94.9,10/6/2019
Lawrence,KS,40,38.9,-95.3,10/6/2019
Mineral Wells,TX,300,32.8,-98.1,10/6/2019
Marlow,OK,250,34.6,-97.9,10/6/2019
Tuttle,OK,8,35.3,-97.7,10/6/2019
Wichita Falls,TX,100,33.8,-98.6,10/6/2019
Chatham-Kent,ON,200,42.5,-81.7,10/6/2019
Fayetteville,AR,15,36.1,-94.2,10/6/2019
Media,PA,7,39.9,-75.4,10/6/2019
Walton,KS,220,38.2,-97.3,10/5/2019
Waynesville,NC,76,35.4,-83,10/5/2019
Syracuse,NY,14,43,-76.3,10/5/2019
Urbana,IL,20,40.1,-88.2,10/5/2019
Amber,OK,100,35.1,-97.9,10/5/2019
Norman,OK,100,35.3,-97.2,10/5/2019
Stillwater,OK,10000,36.1,-97.1,10/5/2019
Norman,OK,1000,35.2,-97.4,10/5/2019
Norman,OK,50,35.3,-97.4,10/5/2019
Stillwater,OK,2469,36.1,-97.1,10/5/2019
Norman,OK,200,35.2,-97.4,10/5/2019
Tuttle,OK,400,35.3,-97.8,10/5/2019
Great Bend,KS,45,38.3,-98.7,10/5/2019
Edmond,OK,100,35.7,-97.5,10/5/2019
Overland Park,KS,220,38.9,-94.7,10/5/2019
Onley,VA,800,37.7,-75.7,10/5/2019
Oklahoma City,OK,150,35.4,-97.4,10/5/2019
Springfield,MO,46,37.2,-93.3,10/5/2019
Shawnee,KS,150,39,-94.7,10/5/2019
Coyle,OK,5000,36,-97.2,10/5/2019
Edmond,OK,700,35.7,-97.5,10/5/2019
Lockney,TX,20,34.3,-101.3,10/5/2019
Siloam Springs,AR,12,36.2,-94.6,10/5/2019
Avoca,IA,15,41.5,-95.3,10/5/2019
Bonner Springs,KS,2000,39,-94.9,10/5/2019
Kansas City,KS,30,39.2,-94.8,10/5/2019
Mobile,AL,175,30.6,-88.1,10/5/2019
Leavenworth,KS,300,39.3,-94.9,10/5/2019
Roy,NM,20,36.1,-104,10/5/2019
Amherstburg,ON,8,42,-83,10/5/2019
Bluff City,KS,125,37.1,-97.9,10/4/2019
Hollister,MO,100,36.6,-93.2,10/4/2019
Mulvane,KS,146,37.5,-97.2,10/4/2019
Fayetteville,AR,11,36.1,-94.2,10/4/2019
Woodward,OK,60,36.4,-99.4,10/4/2019
Lenexa,KS,25,39,-94.7,10/4/2019
Kansas City,MO,8,39.2,-94.5,10/4/2019
Sharon,OK,10,36.3,-99.3,10/4/2019
Cape May Point,NJ,5000,38.9,-75,10/4/2019
Hays,NC,15,36.2,-81.1,10/4/2019
Amherstburg,ON,12,42,-83,10/4/2019
Mcveytown,PA,20,40.5,-77.8,10/4/2019
Media,PA,34,39.9,-75.4,10/4/2019
New Ringgold,PA,15,40.6,-76,10/4/2019
Hasty,CO,18,38.1,-102.9,10/3/2019
Kansas City,MO,20,39.1,-94.6,10/3/2019
Brooklyn,MI,87,42.1,-84.2,10/3/2019
Washington,DC,20,38.9,-77,10/3/2019
San Rafael,CA,20,38,-122.5,10/3/2019
Hays,NC,1000,36.2,-81.1,10/3/2019
Amherstburg,ON,10,42,-83,10/3/2019
Media,PA,4,39.9,-75.4,10/3/2019
Peabody,KS,100,38.2,-97.1,10/2/2019
Lewisburg,WV,81,37.8,-80.4,10/2/2019
Wichita,KS,1000,37.7,-97.3,10/2/2019
Bel Air,MD,55,39.5,-76.3,10/2/2019
Portsmouth,NH,15,43.1,-70.8,10/2/2019
Easton,KS,100,39.4,-95.1,10/2/2019
Brooklyn,NY,32,40.6,-73.9,10/2/2019
Black Mountain,NC,188,35.5,-82.2,10/2/2019
Lewisburg,WV,81,37.8,-80.4,10/2/2019
Saint Louis,MO,50,38.5,-90.4,10/2/2019
Alva,OK,200,36.9,-98.7,10/2/2019
Mulvane,KS,1000,37.5,-97.2,10/2/2019
Towanda,KS,6769,37.8,-97,10/2/2019
Walton,KS,1000,38.2,-97.3,10/2/2019
Wichita,KS,200,37.7,-97.4,10/2/2019
Traphill,NC,69,36.3,-81,10/2/2019
Wichita,KS,300,37.7,-97.5,10/2/2019
Baltimore,MD,200,39.3,-76.7,10/2/2019
Baltimore,MD,200,39.3,-76.7,10/2/2019
Hays,NC,50,36.2,-81.1,10/2/2019
Amherstburg,ON,15,42,-83,10/2/2019
Mcveytown,PA,27,40.5,-77.8,10/2/2019
Media,PA,151,39.9,-75.4,10/2/2019
New Ringgold,PA,18,40.6,-76,10/2/2019
New York,NY,10,40.7,-74,10/1/2019
Lewisburg,WV,75,37.8,-80.4,10/1/2019
New York,NY,200,40.8,-74,10/1/2019
Flourtown,PA,50,40.1,-75.2,10/1/2019
Baltimore,MD,40,39.3,-76.6,10/1/2019
Ocean City,MD,20,38.1,-75.2,10/1/2019
Harrisville,MI,86,44.6,-83.3,10/1/2019
East Setauket,NY,55,40.9,-73.1,10/1/2019
Chatham-Kent,ON,40,42.4,-82.2,10/1/2019
Township Of Washington,NJ,14,41,-74.1,10/1/2019
Blowing Rock,NC,166,36.1,-81.8,10/1/2019
Townsend,TN,60,35.6,-83.8,10/1/2019
Black Mountain,NC,94,35.5,-82.2,10/1/2019
Mount Joy,PA,40,40.1,-76.5,10/1/2019
Kendallville,IN,25,41.5,-85.3,10/1/2019
Felton,PA,12,39.9,-76.6,10/1/2019
Rutherfordton,NC,16,35.4,-82,10/1/2019
Mc Dowell,VA,15,38.3,-79.5,10/1/2019
Traphill,NC,188,36.3,-81,10/1/2019
Hays,NC,25,36.2,-81.1,10/1/2019
Crystal Lake,IL,87,42.2,-88.3,10/1/2019
Amherstburg,ON,47,42,-83,10/1/2019
Mcveytown,PA,42,40.5,-77.8,10/1/2019
Media,PA,42,39.9,-75.4,10/1/2019
New Ringgold,PA,115,40.6,-76,10/1/2019
Dubuque,IA,10,42.5,-90.8,9/30/2019
Toledo,OH,60,41.7,-83.7,9/30/2019
Long Island City,NY,30,40.8,-73.9,9/30/2019
Long Island City,NY,400,40.8,-73.9,9/30/2019
Milwaukee,WI,11,43,-88,9/30/2019
Chatham-Kent,ON,180,42.4,-82.2,9/30/2019
Princeton,NJ,50,40.3,-74.7,9/30/2019
Canton,NC,40,35.5,-82.8,9/30/2019
Asheville,NC,24,35.6,-82.6,9/30/2019
Black Mountain,NC,142,35.5,-82.2,9/30/2019
Waynesville,NC,33,35.4,-83,9/30/2019
Amherstburg,ON,142,42,-83,9/30/2019
Media,PA,138,39.9,-75.4,9/30/2019
New Ringgold,PA,24,40.6,-76,9/30/2019
Johnson City,TN,16,36.4,-82.5,9/29/2019
Orient,NY,37,41.2,-72.2,9/29/2019
Wilmington,DE,60,39.8,-75.5,9/29/2019
Carthage,IN,54,39.7,-85.6,9/29/2019
East Setauket,NY,98,40.9,-73.1,9/29/2019
Lenexa,KS,23,39,-94.7,9/29/2019
Canton,NC,10,35.3,-82.8,9/29/2019
Ocean Beach,NY,1000,40.6,-73.2,9/29/2019
Newport,RI,40,41.5,-71.4,9/29/2019
Linville,NC,121,36.1,-81.8,9/29/2019
Mcveytown,PA,39,40.5,-77.8,9/29/2019
Media,PA,77,39.9,-75.4,9/29/2019
New Ringgold,PA,32,40.6,-76,9/29/2019
Waterville,ME,1,44.5,-69.6,9/28/2019
Northport,NY,23,40.9,-73.3,9/28/2019
Madison,CT,100,41.3,-72.5,9/28/2019
Edisto Island,SC,38,32.5,-80.3,9/28/2019
Martinsburg,MO,15,39.1,-91.6,9/28/2019
Tuckasegee,NC,782,35.3,-83,9/28/2019
Stonington,CT,40,41.3,-71.9,9/28/2019
Canton,NC,241,35.4,-82.8,9/28/2019
Boone,NC,50,36.2,-81.7,9/28/2019
Randolph Center,VT,36,43.9,-72.5,9/28/2019
Harrisville,MI,514,44.6,-83.3,9/28/2019
Hillsboro,MO,207,38.2,-90.6,9/28/2019
West Hurley,NY,100,42,-74.1,9/28/2019
Scarborough,ME,14,43.6,-70.4,9/28/2019
Johns Island,SC,2000,32.6,-80.1,9/28/2019
Rapid River,MI,1000,45.7,-87,9/28/2019
Williamsburg,KS,200,38.5,-95.5,9/28/2019
Traphill,NC,88,36.3,-81,9/28/2019
Little Compton,RI,30,41.5,-71.2,9/28/2019
Woodstock,VA,48,38.9,-78.5,9/28/2019
Amherstburg,ON,15,42,-83,9/28/2019
Media,PA,10,39.9,-75.4,9/28/2019
New Ringgold,PA,6,40.6,-76,9/28/2019
Stonington,CT,80,41.3,-71.9,9/27/2019
Mystic,CT,25,41.3,-72,9/27/2019
Phippsburg,ME,1000,43.7,-69.8,9/27/2019
Fort Erie,ON,200,42.9,-79.1,9/27/2019
Canton,NC,142,35.4,-82.8,9/27/2019
Urbana,IL,200,40.1,-88.2,9/27/2019
Escanaba,MI,1000,45.7,-87,9/27/2019
Walton,KS,70,38.2,-97.3,9/27/2019
Tecumseh,KS,80,39,-95.5,9/27/2019
Burlington,VT,16,44.5,-73.2,9/27/2019
Pinnacle,NC,10,36.3,-80.5,9/27/2019
Tuckasegee,NC,216,35.3,-83,9/27/2019
Lindon,CO,20,39.9,-103.3,9/27/2019
Oak Island,NC,1000,33.9,-78.2,9/27/2019
Channing,TX,100,35.7,-102.3,9/27/2019
Herington,KS,100,38.7,-96.9,9/27/2019
Newbury,NH,100,43.4,-72,9/27/2019
Town of Ellisburg,NY,1000,43.7,-76.2,9/27/2019
Mississauga,ON,57,43.5,-79.7,9/27/2019
Amherstburg,ON,70,42,-83,9/27/2019
Mcveytown,PA,364,40.5,-77.8,9/27/2019
Media,PA,15,39.9,-75.4,9/27/2019
New Ringgold,PA,103,40.6,-76,9/27/2019
Mount Airy,NC,100,36.5,-80.6,9/26/2019
Lecompton,KS,23,39,-95.5,9/26/2019
Olathe,KS,50,38.9,-94.8,9/26/2019
Stonington,CT,36,41.3,-71.9,9/26/2019
Westerly,RI,150,41.3,-71.9,9/26/2019
Chicago,IL,23,41.8,-87.6,9/26/2019
Lenexa,KS,50,39,-94.7,9/26/2019
Village of Bayside,WI,120,43.2,-87.9,9/26/2019
Spirit Lake,IA,30,43.4,-95.1,9/26/2019
Harrisville,MI,1301,44.6,-83.3,9/26/2019
Milwaukee,WI,20,43.1,-87.9,9/26/2019
Knightstown,IN,6,39.8,-85.5,9/26/2019
Randolph Center,VT,24,43.9,-72.5,9/26/2019
Canton,IL,100,40.6,-90,9/26/2019
Balsam,NC,64,35.4,-83.1,9/26/2019
Tecumseh,KS,50,39,-95.5,9/26/2019
Chatham-Kent,ON,420,42.5,-81.7,9/26/2019
Loves Park,IL,100,42.3,-89,9/26/2019
Newton,NJ,50,41,-74.7,9/26/2019
Amherstburg,ON,32,42,-83,9/26/2019
Mcveytown,PA,12,40.5,-77.8,9/26/2019
Media,PA,32,39.9,-75.4,9/26/2019
New Ringgold,PA,26,40.6,-76,9/26/2019
Madison,CT,100,41.3,-72.5,9/25/2019
Toronto,ON,57,43.6,-79.5,9/25/2019
Harris Twp,PA,12,40.8,-77.8,9/25/2019
Beach Haven,NJ,76,39.6,-74.2,9/25/2019
Canton,NC,25,35.3,-83,9/25/2019
Town of Bakersfield,VT,70,44.8,-72.8,9/25/2019
Far Rockaway,NY,200,40.6,-73.8,9/25/2019
Northern Bruce Peninsula,ON,100,45.2,-81.6,9/25/2019
Tuckasegee,NC,88,35.3,-83,9/25/2019
Laurel Springs,NC,103,36.4,-81.2,9/25/2019
Brooklyn,NY,105,40.6,-74,9/25/2019
